Company,Address,Products,Service Description,Location of Data Processing
"Amazon Web Services EMEA SARL","38 Avenue John F. Kennedy, L-1855, Luxembourg","JM, HAPI including respective add-ons and modules, Marketplace add-on for JP","Infrastructure (IaaS) and hosting provider","AWS availability zone eu-west-1 (Frankfurt/Germany)"
"g-company B.V.","Atoomweg 50, 3542AB Utrecht, The Netherlands","JP, JM, HAPI including respective add-ons and modules","Administrative and technical support","Netherlands"
"Google Cloud EMEA Ltd.","70 Sir John Rogerson’s Quay, Dublin 2, Ireland","JP, JM, HAPI including respective add-ons and modules","Infrastructure (IaaS) and hosting provider","GCP Regions eu-west1 (St. Ghislain/Belgium), eu-west3 (Frankfurt/Germany) and eu-west4 (Eemshaven/Netherlands) - For JP Ireland - Other Products"
"Intercom Inc.","55 2nd Street, 4th Fl., San Francisco, CA 94105, USA","JM including respective add-ons","Support chat provider","USA"
"OptimaData B.V.","Ijsselmeerweg 1 1411 AA Naarden, The Netherlands","JP, JM, HAPI including respective add-ons and modules","Administrative and technical support","Netherlands"
"Prolocation B.V.","Populierlaan 3B, 2282 KX Rijswijk, The Netherlands","JM, HAPI including respective add-ons and modules","Hosting provider","Netherlands"
"SFDC Ireland Ltd. (Salesforce)","Third and Fourth Floor, 1 Central Park, Block G, Leopardstown, D 18, Dublin, Ireland","JP, JM, HAPI including respective add-ons and modules","Facilitating the performance of contracts, managing customer relationships","Ireland"
"Snowplow Analytics Ltd.","17 Bevis Marks, Floor 6, London, EC3A 7LN, United Kingdom","JM","Anonymization of candidate IP addresses","AWS availability zone eu-west-1 (Frankfurt/Germany) and UK"
"Stripe Payments Europe Ltd.","1 Grand Canal Street Lower, Grand Canal Dock, Dublin Ireland","HAPI Payment Module","Payment processing","Ireland"
"Zendesk Inc.","989 Market St. San Francisco, CA 94103 USA","JP, HAPI including respective add-ons and modules","Support ticketing system","USA"
